iter	RMSE
185	4.812534475
186	4.810646109
187	4.807550291
188	4.80593174
189	4.802983224
190	4.797730756
191	4.794608359
192	4.79255937
193	4.789974189
194	4.786076192
195	4.780573469
196	4.780059796
197	4.775704009
198	4.771086599
199	4.76767324
200	4.765656224
201	4.761954891
202	4.757065792
203	4.752629599
204	4.749816851
205	4.746162736
206	4.741782161
207	4.737294648
208	4.732783376
209	4.731762679
210	4.728995853
211	4.728056199
212	4.724546028
213	4.719749317
214	4.714735158
215	4.708587247
216	4.70574187
217	4.703011327
218	4.700604805
219	4.694820335
220	4.691011147
221	4.687990837
222	4.685403161
223	4.68214459
224	4.680015779
225	4.677093904
226	4.671485397
227	4.669585114
228	4.667191191
229	4.663672653
230	4.661428478
231	4.659739924
232	4.657116076
233	4.655601295
234	4.6542325
235	4.652124814
236	4.64847262
237	4.645549632
238	4.642469153
239	4.637609863
240	4.633831299
241	4.630269453
242	4.628287879
243	4.62579554
244	4.622765275
245	4.618922724
246	4.616416099
247	4.61430851
248	4.609390438
249	4.603830832
250	4.600309739
251	4.597771805
252	4.592487767
253	4.589893525
254	4.588320073
255	4.587033441
256	4.582199893
257	4.579027085
258	4.574609942
259	4.572385272
260	4.568238936
261	4.566747798
262	4.562907689
263	4.561258801
264	4.559742171
265	4.55753968
266	4.554982608
267	4.553034396
268	4.551090117
269	4.54771863
270	4.546248125
271	4.54547137
272	4.539718839
273	4.53588009
274	4.530249995
275	4.52189832
276	4.517726796
277	4.513817226
278	4.509712912
279	4.507165652
280	4.503941449
281	4.500924213
282	4.497360069
283	4.495449497
284	4.4910811
285	4.489691412
286	4.486027327
287	4.482534805
288	4.476429562
289	4.471582452
290	4.467790608
291	4.462593853
292	4.45946009
293	4.458226488
294	4.45474207
295	4.450679393
296	4.447371625
297	4.441443775
298	4.437536408
299	4.433233154
300	4.429686465
301	4.424991586
302	4.420804487
303	4.413552484
304	4.412757869
305	4.408802048
306	4.407237987
307	4.403585399
308	4.402281575
309	4.401712391
310	4.39809193
311	4.393575951
312	4.391229329
313	4.389318758
314	4.387655682
315	4.384321257
316	4.381685897
317	4.379746636
318	4.376794741
319	4.373998028
320	4.371779202
321	4.369372044
322	4.367079852
323	4.36373981
324	4.358225347
325	4.354205577
326	4.349922596
327	4.347315369
328	4.344203574
329	4.340497537
330	4.334896741
331	4.32963373
332	4.327308788
333	4.323968321
334	4.323303753
335	4.321820548
336	4.320131548
337	4.319442832
338	4.312800534
339	4.310943525
340	4.304548067
341	4.302381595
342	4.295912392
343	4.292544244
344	4.290770077
345	4.283728606
346	4.280307296
347	4.279877857
348	4.275454742
349	4.272774401
350	4.269296464
351	4.268925799
352	4.268008635
353	4.266328943
354	4.26389686
355	4.261933282
356	4.261184955
357	4.260554525
358	4.259890686
359	4.257119456
360	4.254282275
361	4.251695046
362	4.248599782
363	4.246854616
364	4.24569059
365	4.245096896
366	4.24043416
367	4.237805654
368	4.237253128
369	4.236779365
370	4.233408264
371	4.231347034
372	4.228433078
373	4.224756995
374	4.220482587
375	4.218787899
376	4.216967275
377	4.213822081
378	4.212232412
379	4.207454235
380	4.202013009
381	4.198214276
382	4.196723643
383	4.191284378
384	4.187220271
385	4.184273431
386	4.182840846
387	4.179056703
388	4.174451668
389	4.17064272
390	4.168002923
391	4.166560183
392	4.164135283
393	4.163574625
394	4.158462193
395	4.153178965
396	4.150917141
397	4.146493342
398	4.142723985
399	4.139575993
400	4.136147349
401	4.132158187
402	4.127865055
403	4.127315061
404	4.126661854
405	4.125678801
406	4.123590592
407	4.120816164
408	4.11694643
409	4.111214946
410	4.10919591
411	4.107967461
412	4.106511442
413	4.102830206
414	4.099389307
415	4.097736038
416	4.096832266
417	4.092763739
418	4.092322876
419	4.090248483
420	4.087732677
421	4.084416521
422	4.08098746
423	4.08038161
424	4.079994055
425	4.076631363
426	4.07512402
427	4.070963555
428	4.065540626
429	4.063029001
430	4.06252768
431	4.060823102
432	4.057228556
433	4.053156734
434	4.052128679
435	4.050477268
436	4.050076865
437	4.04684797
438	4.042313709
439	4.041710217
440	4.037824936
441	4.034980827
442	4.032548259
443	4.031748408
444	4.028626533
445	4.026626648
446	4.025332424
447	4.021516921
448	4.021133536
449	4.019549665
450	4.019298094
451	4.015776751
452	4.013972
453	4.012677309
454	4.012106516
455	4.011345135
456	4.009826386
457	4.008423849
458	4.006939933
459	4.004369376
460	4.000273635
461	3.998214909
462	3.994352552
463	3.990811039
464	3.986642786
465	3.983493929
466	3.981785981
467	3.97798144
468	3.975636621
469	3.972450993
470	3.967815294
471	3.96526789
472	3.965035871
473	3.960233834
474	3.956532312
475	3.951569556
476	3.950898341
477	3.950679505
478	3.94949128
479	3.94672542
480	3.943696871
481	3.940752016
482	3.938978376
483	3.938407178
484	3.936211571
485	3.932409253
486	3.928150891
487	3.927723529
488	3.923600232
489	3.921339192
490	3.917966869
491	3.913845859
492	3.911159286
493	3.910740607
494	3.909807248
495	3.907610153
496	3.904679071
497	3.902863727
498	3.900591201
499	3.896441596
500	3.893517736
501	3.891455437
502	3.88913242
503	3.888744132
504	3.884387898
505	3.880631668
506	3.878625416
507	3.876320411
508	3.875927764
509	3.873648039
510	3.871007014
511	3.866929262
512	3.863715801
513	3.861497653
514	3.861057756
515	3.858911679
516	3.856734846
517	3.856308039
518	3.852876795
519	3.851810313
520	3.847438295
521	3.846970816
522	3.846571696
523	3.843054786
524	3.842385635
525	3.839625123
526	3.837903346
527	3.837764493
528	3.835125253
529	3.831689548
530	3.828124352
531	3.826467179
532	3.824683372
533	3.82439975
534	3.821540186
535	3.818294382
536	3.817939249
537	3.815248396
538	3.812443737
539	3.810922167
540	3.807679074
541	3.80369247
542	3.799923945
543	3.796602658
544	3.795014618
545	3.791502764
546	3.790895392
547	3.788379749
548	3.784768305
549	3.783724221
550	3.783352465
551	3.780504131
552	3.77742975
553	3.773161415
554	3.770219056
555	3.769193779
556	3.76643333
557	3.763361221
558	3.762233489
559	3.761900262
560	3.760304633
561	3.758001324
562	3.75763107
563	3.754563656
564	3.752714265
565	3.751484753
566	3.748584676
567	3.748250009
568	3.747248686
569	3.7458451
570	3.741739045
571	3.740032329
572	3.739733896
573	3.737190604
574	3.733156251
575	3.728898849
576	3.72518984
577	3.722353015
578	3.722010258
579	3.719703648
580	3.717466517
581	3.71632011
582	3.713427197
583	3.711451578
584	3.709010601
585	3.708708878
586	3.705660022
587	3.703876128
588	3.700723717
589	3.697928212
590	3.696999271
591	3.694409025
592	3.691188839
593	3.687559447
594	3.686080576
595	3.685019833
596	3.683438892
597	3.682225317
598	3.679438562
599	3.677335705
600	3.676218482
601	3.674519014
602	3.673625409
603	3.67149674
604	3.669841766
605	3.665729914
606	3.663596858
607	3.663012388
608	3.66228596
609	3.662122563
610	3.659575507
611	3.657011755
612	3.65663991
613	3.654559582
614	3.65205836
615	3.650517742
616	3.64918265
617	3.648875542
618	3.645945797
619	3.644828114
620	3.642045641
621	3.641914052
622	3.641603862
623	3.639774826
624	3.638496693
625	3.636874063
626	3.63672719
627	3.635833236
628	3.634864934
629	3.632373527
630	3.630162523
631	3.627639616
632	3.626100259
633	3.622970101
634	3.6193555
635	3.616608752
636	3.613986397
637	3.610802164
638	3.607953777
639	3.606981923
640	3.605565996
641	3.604439289
642	3.604295425
643	3.603715542
644	3.601133048
645	3.597295719
646	3.595807249
647	3.594281396
648	3.592854356
649	3.592236545
650	3.590019072
651	3.58701259
652	3.584076512
653	3.582015122
654	3.580484963
655	3.579556954
656	3.576350986
657	3.57507292
658	3.571849294
659	3.569967583
660	3.566649482
661	3.563861809
662	3.56354451
663	3.560601312
664	3.558146185
665	3.555959322
666	3.555453627
667	3.553651266
668	3.551620377
669	3.547953995
670	3.545801716
671	3.541958866
672	3.540416916
673	3.536637126
674	3.535723774
675	3.530058904
676	3.529328739
677	3.526669811
678	3.525796833
679	3.524500035
680	3.523017629
681	3.522887311
682	3.520513974
683	3.517570227
684	3.514282085
685	3.512018345
686	3.509534029
687	3.507877362
688	3.506199019
689	3.503632946
690	3.500879074
691	3.499553914
692	3.497751896
693	3.495053802
694	3.494709172
695	3.492436366
696	3.489085956
697	3.486492536
698	3.48601415
699	3.482904059
700	3.480504088
701	3.480007911
702	3.478989325
703	3.478756532
704	3.47414564
705	3.472674046
706	3.471117824
707	3.469453939
708	3.467743688
709	3.467582848
710	3.466141733
711	3.465835503
712	3.465229627
713	3.46259234
714	3.459908656
715	3.45803507
716	3.455578585
717	3.453413234
718	3.452159705
719	3.450638771
720	3.446078069
721	3.445231528
722	3.442276118
723	3.441309718
724	3.440389548
725	3.438000404
726	3.435452524
727	3.433642269
728	3.430994472
729	3.428724128
730	3.426520023
731	3.42496282
732	3.422412605
733	3.419839471
734	3.417331397
735	3.413433783
736	3.411225884
737	3.40988885
738	3.407391873
739	3.404724171
740	3.402608394
741	3.401558927
742	3.399466565
743	3.397597555
744	3.393798066
745	3.392360856
746	3.390096937
747	3.387839464
748	3.384903511
749	3.383606542
750	3.381211057
751	3.379459995
752	3.376959021
753	3.375635549
754	3.372979938
755	3.370574029
756	3.369079108
757	3.367364475
758	3.365286393
759	3.363642181
760	3.360062717
761	3.358912302
762	3.35658163
763	3.355615693
764	3.353911713
765	3.352487932
766	3.349339238
767	3.348930108
768	3.347969095
769	3.346198098
770	3.345879046
771	3.343107151
772	3.342212872
773	3.341233452
774	3.340563756
775	3.337163624
776	3.335271714
777	3.333008169
778	3.330903464
779	3.330505417
780	3.329148712
781	3.325073084
782	3.323090982
783	3.321838803
784	3.318517657
785	3.317668294
786	3.316540066
787	3.313003339
788	3.312020543
789	3.308537591
790	3.307581613
791	3.306803816
792	3.303764409
793	3.301412
794	3.299623258
795	3.296609547
796	3.293569202
797	3.291262545
798	3.289053152
799	3.286686155
800	3.28492365
801	3.283202771
802	3.28126137
803	3.27929678
804	3.27775923
805	3.276768528
806	3.275506724
807	3.273691192
808	3.271659751
809	3.270920703
810	3.270185018
811	3.268272791
812	3.267529705
813	3.26733541
814	3.264831522
815	3.263912707
816	3.261013214
817	3.258730665
818	3.25633672
819	3.255103626
820	3.252488078
821	3.251524651
822	3.250968502
823	3.249169067
824	3.247725694
825	3.24462587
826	3.242838665
827	3.242145621
828	3.239726937
829	3.238903498
830	3.235896762
831	3.233755249
832	3.231050133
833	3.229121698
834	3.227108799
835	3.224679685
836	3.222919148
837	3.222677826
838	3.222103666
839	3.219286478
840	3.219109219
841	3.218472557
842	3.215384131
843	3.213724564
844	3.212200483
845	3.209229724
846	3.207470449
847	3.206888591
848	3.205240649
849	3.203870251
850	3.202025358
851	3.200526938
852	3.198338824
853	3.197902817
854	3.195616364
855	3.19399214
856	3.192733348
857	3.190271553
858	3.18760824
859	3.186396192
860	3.185137101
861	3.184086449
862	3.183120722
863	3.182085671
864	3.179243456
865	3.177496221
866	3.174749141
867	3.17337381
868	3.171096757
869	3.170142043
870	3.168008279
871	3.165319528
872	3.163197376
873	3.162998544
874	3.160987134
875	3.160146582
876	3.157081482
877	3.157016861
878	3.15518094
879	3.154086782
880	3.153183552
881	3.152391054
882	3.150141358
883	3.148760742
884	3.147355267
885	3.144326708
886	3.142367328
887	3.14125126
888	3.140694518
889	3.139013779
890	3.137870572
891	3.137337136
892	3.135160034
893	3.132521412
894	3.130432253
895	3.128878057
896	3.126670868
897	3.125321236
898	3.123275462
899	3.121008349
900	3.119518663
901	3.117791062
902	3.116442801
903	3.114482843
904	3.11254706
905	3.109133835
906	3.107451217
907	3.10725831
908	3.105264832
909	3.103730283
910	3.101999367
911	3.101812654
912	3.101113965
913	3.100606028
914	3.098334316
915	3.095252617
916	3.094114441
917	3.092831698
918	3.09071645
919	3.089253452
920	3.087924317
921	3.086013197
922	3.085754977
923	3.084089035
924	3.083157613
925	3.081542679
926	3.078836939
927	3.077900813
928	3.077744531
929	3.075440874
930	3.074970344
931	3.073543061
932	3.071166391
933	3.069363991
934	3.068394643
935	3.065649951
936	3.063091113
937	3.061727953
938	3.060084101
939	3.058952251
940	3.058005568
941	3.057509505
942	3.055660621
943	3.053562322
944	3.052295994
945	3.049603702
946	3.046956046
947	3.045334872
948	3.04434479
949	3.042545383
950	3.040678517
951	3.0389551
952	3.037434659
953	3.037139649
954	3.035767527
955	3.033963226
956	3.033470383
957	3.030809045
958	3.03059772
959	3.029047654
960	3.02754728
961	3.025595649
962	3.024450046
963	3.023796568
964	3.022277589
965	3.021647208
966	3.019179772
967	3.019008125
968	3.018544701
969	3.018232352
970	3.0177987
971	3.016893549
972	3.016228028
973	3.01532654
974	3.013366517
975	3.010895328
976	3.009903031
977	3.009079021
978	3.008431135
979	3.005609106
980	3.005449275
981	3.005216562
982	3.004394903
983	3.00380613
984	3.002365472
985	3.002158707
986	3.00197499
987	3.001248653
988	2.998902169
989	2.995450988
990	2.993861686
991	2.992020953
992	2.990469729
993	2.98961848
994	2.98775816
995	2.987592135
996	2.986003394
997	2.984322663
998	2.983521084
999	2.981427829
